,學生人數,diff
0,939.0,321.0
1,2423.0,1332.0
2,3415.0,588.0
3,2203.0,602.0
4,2098.0,829.0
5,1113.0,490.0
6,528.0,139.0
7,1152.0,92.0
8,1907.0,879.0
9,1248.0,753.0
10,3459.0,1593.0
11,1512.0,873.0
12,1132.0,303.0
13,1921.0,1043.0
14,1500.0,690.0
15,1087.0,614.0
16,2499.0,423.0
17,1225.0,140.0
18,1530.0,-292.0
19,502.0,97.0
20,999.0,318.0
21,1914.0,571.0
22,2091.0,1013.0
23,1910.0,566.0
24,2988.0,1431.0
25,3100.0,819.0
26,1440.0,220.0
27,1851.0,904.0
28,513.0,157.0
29,282.0,-48.0
30,1090.0,-6.0
31,2245.0,848.0
32,1250.0,648.0
33,938.0,518.0
34,1425.0,490.0
35,1178.0,491.0
36,181.0,-85.0
37,1781.0,803.0
38,1301.0,388.0
39,737.0,503.0
40,1427.0,452.0
41,416.0,-145.0
42,885.0,413.0
43,815.0,377.0
44,402.0,255.0
45,2188.0,469.0
46,772.0,201.0
47,2339.0,742.0
48,541.0,229.0
49,1616.0,186.0
50,541.0,-187.0
51,1282.0,616.0
52,849.0,379.0
53,999.0,374.0
54,1441.0,563.0
55,485.0,153.0
56,1080.0,256.0
57,909.0,430.0
58,370.0,112.0
59,356.0,-757.0
60,1173.0,588.0
61,1203.0,663.0
62,848.0,184.0
63,998.0,495.0
64,965.0,239.0
65,1064.0,246.0
66,1454.0,1061.0
67,640.0,210.0
68,972.0,475.0
69,1102.0,835.0
70,559.0,-113.0
71,1003.0,699.0
72,396.0,-1116.0
73,1511.0,996.0
74,686.0,-813.0
75,1263.0,550.0
76,597.0,325.0
77,557.0,304.0
78,424.0,-218.0
79,1023.0,378.0
80,1048.0,340.0
81,832.0,-129.0
82,1473.0,700.0
83,1372.0,904.0
84,784.0,74.0
85,1394.0,1180.0
86,207.0,97.0
87,146.0,-128.0
88,678.0,172.0
89,1148.0,-135.0
90,1616.0,881.0
91,782.0,303.0
92,1021.0,547.0
93,1230.0,1001.0
94,431.0,-844.0
95,1157.0,871.0
96,867.0,388.0
97,752.0,256.0
98,813.0,-17.0
99,1551.0,1058.0
100,1031.0,573.0
101,911.0,793.0
102,205.0,-1272.0
103,2516.0,1603.0
104,1594.0,1343.0
105,437.0,-1219.0
106,3123.0,2707.0
107,877.0,-85.0
108,1578.0,-190.0
109,2155.0,1157.0
110,1544.0,794.0
111,1156.0,899.0
112,769.0,278.0
113,1205.0,-231.0
114,1991.0,757.0
115,1167.0,216.0
116,443.0,-638.0
117,2042.0,1149.0
118,1167.0,607.0
119,923.0,790.0
120,323.0,-907.0
121,2087.0,1850.0
122,336.0,188.0
123,302.0,-122.0
124,624.0,543.0
125,103.0,47.0
126,94.0,-1359.0
127,1957.0,1844.0
128,146.0,-1023.0
129,1528.0,943.0
130,1129.0,-442.0
131,2591.0,2365.0
132,434.0,28.0
133,988.0,586.0
134,597.0,-222.0
135,1601.0,1262.0
136,1511.0,10.0
137,296.0,-928.0
138,2741.0,2276.0
139,1043.0,-1394.0
140,2911.0,1816.0
141,1547.0,1493.0
142,69.0,-331.0
143,780.0,709.0
144,91.0,-20.0
145,106.0,-33.0
146,130.0,-129.0
147,470.0,134.0
148,727.0,468.0
149,325.0,-213.0
150,1012.0,405.0
151,1127.0,-434.0
152,108.0,
153,1770.0,
